Sensor_0,Sensor_1,Sensor_2,Sensor_3
101268,104257.75,101570.75,113962.5
101257,104258.25,101578,113966.75
101258.25,104261.25,101580.25,113955.5
101274.25,104261.75,101578.5,113962.25
101253.25,104261,101583,113969
101264.75,104252,101576.5,113964.75
101262,104257.5,101574.25,113960.25
101270,104257.75,101582.25,113965.25
101262.5,104259.5,101571.25,113955.25
101267.25,104269,101571,113958.25
101274,104258.75,101582.25,113961.25
101269.75,104261,101581.5,113967.25
101259.25,104256,101570,113967
101268,104257.5,101581,113967.25
101265,104261.25,101574.25,113961
101263,104255,101570.75,113967
101267.75,104265,101574.75,113959.75
101266.75,104264.75,101575.75,113965
101258,104254.25,101567.75,113962.5
101266,104262.25,101578.75,113957.5
101262,104255.5,101570,113967.75
101270.75,104257,101572.5,113958
101264.5,104257.5,101584,113954
101266.75,104262.75,101574,113961.25
101269.75,104253.75,101569,113955.25
101265.75,104264.25,101572.25,113962.25
101271.5,104263.5,101576.5,113958
101261.75,104256.5,101574.5,113952
101264.75,104264.75,101583,113954
101279.5,104254.5,101580.5,113956.75
101269,104254,101569.25,113955
101269.75,104257,101576.75,113955.25
101280.25,104261,101572.25,113965.5
101264.75,104265.25,101589.5,113961.25
101265,104258,101576.5,113963
101269.25,104264,101575.25,113959
101266,104253.75,101586.25,113962.25
101268.5,104258.5,101576,113955.25
101269.25,104256.5,101587.5,113968.75
101261,104258.5,101577.5,113962.5
101272.75,104258.25,101583,113968.5
101265.75,104257.75,101564,113960.25
101259.25,104257.25,101573.25,113963.75
101261.75,104257.75,101574.75,113958
101264.75,104257.25,101572.25,113961
101272,104262.75,101575.25,113962
101269.25,104267.25,101575.25,113951
101272.75,104264.25,101573.75,113966.75
101265,104255,101579,113963
101276.5,104263,101580.25,113958.25
101267.75,104259.5,101577.5,113958.25
101271.75,104255,101570,113959.75
101275,104263.25,101581.75,113959.25
101269.5,104259.5,101573.5,113959.25
101262,104260,101579,113964
101258.25,104252.25,101567.75,113953
101275,104268.75,101577,113959.75
101267.75,104258,101575.75,113962.75
101266,104256.25,101575.75,113962.75
101270.5,104261,101580.75,113955.5
101276.75,104265.75,101566.75,113960.75
101269.5,104248.75,101569.5,113951.5
101267.5,104265.5,101579,113955.5
101272.25,104257,101567.5,113966.5
101258.5,104266.25,101566,113952.75
101273.5,104258.75,101573.5,113968.25
101272.5,104254,101579.75,113957.5
101264.5,104253.5,101568.75,113947
101265.75,104268.75,101570.5,113957.75
101265.25,104261.5,101566.25,113961.5
101267,104259.75,101574.25,113967
101269.75,104263,101570.25,113958.75
101264.25,104251,101580,113951.75
101269.5,104257,101570.5,113961.5
101269.5,104259.5,101574.75,113969
101266,104250.5,101579.75,113958.25
101271.5,104260,101572,113963.75
101263.25,104263.5,101576,113964.5
101262.5,104262.25,101571.5,113954.25
101272.5,104263.75,101578,113955.75
101269,104259.5,101576.75,113957.75
101259.25,104266,101570,113959.75
101272.75,104252.5,101572.25,113964
101271,104251.25,101571.5,113952
101269.5,104263.25,101579.75,113960
101261.25,104264.5,101574,113961.5
101268.75,104257.75,101579.5,113956.75
101254.5,104263.75,101576.5,113957.75
101266.25,104249.5,101571.25,113958.25
101267.25,104265,101576.75,113948.75
101265.5,104270.75,101565.5,113951
101267.75,104255.75,101569.75,113960.75
101270.25,104263.75,101575.75,113946.75
101267.5,104260.75,101573.5,113963.25
101269.5,104260,101582.75,113953.75
101267,104251.75,101575.25,113949.5
101269.5,104252,101571.25,113953.5
101266.5,104259.25,101568,113961
101268.5,104265.25,101571.25,113965
101272.75,104264.25,101568,113951.5
101270.5,104258.5,101583.5,113952.5
101272,104253.5,101575,113962.75
101275.5,104253.25,101577,113952.75
101267.25,104258.25,101574.25,113968.5
101268.75,104257,101565,113958.25
101268.75,104259.75,101573.5,113968
101268.5,104257.5,101565.25,113957.5
101269,104258.5,101584.75,113960.25
101268,104254.75,101568,113954.25
101274,104257,101566.5,113954
101270.5,104257.75,101575.5,113956.75
101266,104254.5,101570.5,113953.75
101270,104253.75,101574.75,113957.25
101266.75,104251,101568,113963.75
101263.25,104268.5,101578,113960
101264.5,104268.25,101576.5,113957.5
101267.75,104262,101580,113942.25
101269.5,104265,101577,113954.5
101270.25,104264.5,101576.75,113955.25
101276.25,104255.75,101576.25,113948
101265.5,104252.75,101572,113954.25
101275.25,104249.5,101581,113954.75
101286,104264,101577,113958
101265.25,104259.5,101579.5,113952
101273,104268.75,101573.75,113965.5
101275.75,104259.75,101576.5,113950.75
101279.25,104257,101574.5,113959.5
101272.75,104269.75,101565.75,113957.25
101270.5,104260,101569.25,113959
101279.5,104250,101576,113958.25
101274.25,104256.25,101570.5,113961.25
101260,104250.5,101579.25,113959.5
101275.25,104249.75,101569.25,113952.25
101275.25,104249.5,101582.25,113955.5
101278,104261.25,101581.5,113949.25
101273.75,104250.75,101574.25,113968
101269.75,104262.5,101566,113951
101268,104254.25,101572.75,113958.5
101270.5,104260.25,101579.5,113962
101266.25,104251,101585,113951.25
101267.5,104256.75,101571.25,113959.5
101278.25,104264.5,101578.25,113950
101270,104254.75,101577,113944.75
101269.25,104252,101571,113954.75
101273.25,104255.5,101577.75,113951.75
101272,104254.5,101575.5,113965.5
101272,104255.75,101569.25,113953.5
101275.75,104274.25,101579.25,113953.25
101259.75,104269.75,101580,113952
101274.25,104262,101588,113951.5
101273.75,104258.5,101576,113959.5
101265.75,104258.75,101585.25,113951.5
101270.25,104261.75,101573.5,113955.25
101274.5,104255.75,101577.25,113961.25
101271.75,104259.5,101572.25,113959.75
101269,104262.25,101578,113952
101271,104262.25,101571.75,113953
101270.5,104258,101570.25,113969
101278.5,104262,101579.5,113955.5
101270,104261,101567.75,113955.25
101267,104254.25,101576.5,113948
101275.75,104253.75,101573.75,113949.25
101265.5,104254,101573.5,113958.25
101270.25,104254.75,101583.5,113953.5
101274.25,104255.25,101579.25,113956.5
101267.25,104256.75,101582,113950.75
101258.75,104262.25,101580.75,113955.5
101281,104263,101585,113954
101267.25,104255,101580.75,113957.25
101275.5,104253.25,101573.5,113956.75
101261.5,104250.5,101579.75,113953.75
101279.5,104252.75,101571.25,113957.5
101275,104257.5,101575.5,113960
101262.25,104257.75,101577.25,113961.25
101276.25,104252.25,101577.25,113962.75
101271.25,104263.25,101576.25,113961.25
101274.5,104254,101572,113961
101274.5,104260.5,101580,113959
101266.25,104255.75,101584.25,113950.5
101283.5,104266.5,101575.75,113965.75
101356.75,104276.5,101582.5,113959.5
101497.25,104279.25,101566.5,113954.5
101667.5,104268.75,101564,113956.75
101875.5,104274,101566.25,113970.75
102118.25,104280.5,101570,113947
102402.75,104284.5,101555.25,113963.25
102686.75,104294.25,101553,113960.75
102917.5,104310.25,101551.5,113960
103180,104323.5,101558.5,113960
103552,104361.5,101548.75,113958.25
103917.5,104412.5,101557.5,113959
104359.25,104501.25,101559.25,113952
104718.75,104560.75,101565.75,113952
105065.25,104619.25,101564.75,113963.5
105299.75,104645.25,101566.75,113967.25
105157.5,104642,101568.5,113968.25
105080.25,104629.5,101567,113965.25
105028.25,104635.25,101577.25,113958.75
104976.25,104634.5,101566.5,113968.25
104936.5,104635.5,101569.25,113970.25
104899.5,104637,101569,113962
104867,104639.75,101570.75,113974
104851.5,104633.25,101567.25,113957.75
104827,104623.75,101577.75,113954.5
104804.5,104625,101565,113967.25
104787.25,104633,101569,113969
104766.75,104640.75,101573.25,113964
104751.25,104625.25,101570.5,113964.25
104736.25,104623,101564.5,113962.5
104716,104625.75,101570.75,113956
104701.5,104633.75,101573,113968.25
104677.5,104622.75,101567,113971.5
104679.5,104632.5,101578.5,113972
104652.25,104625,101568.5,113968.5
104645.75,104629.25,101577.75,113957.5
104627.75,104637.75,101564.5,113968.75
104609.25,104623.25,101570.25,113966.5
104603.75,104628.5,101573.25,113959.25
104595.25,104634.25,101564,113962.25
104585.5,104630.5,101575.5,113966.25
104571.25,104626.75,101570.75,113967.75
104574.75,104622.75,101574.75,113968.75
104551.75,104621.5,101560.25,113967.5
104545,104632.25,101567,113960.25
104549,104629,101581.5,113969.75
104529.5,104632.25,101562.5,113958
104512.25,104612.75,101571,113959.25
104510.25,104625.75,101573.5,113964.75
104513.75,104626.25,101566.25,113964.75
104498.25,104622.75,101567,113962.25
104487.75,104628.75,101562,113961.25
104486.5,104630.75,101571.25,113964
104486.75,104632.5,101572.5,113959
104473.75,104629.75,101570.75,113961.75
104471.75,104613.25,101570.75,113959.5
104472.25,104629.75,101576,113961
104470.75,104627,101572.5,113964.75
104456.25,104622,101574.75,113962.5
104454,104624,101573.75,113954.75
104449.5,104631.25,101559.75,113975.75
104445,104619.5,101580.5,113967.5
104442.25,104632,101563.75,113958.25
104428.75,104623.5,101562.75,113968.25
104429,104630.25,101559,113959.5
104423,104624.25,101564.5,113955.5
104422.25,104634.25,101568.75,113967
104409,104625.75,101577.25,113958.5
104405,104626.75,101569.75,113962
104400.5,104627.25,101572.25,113957.5
104393.5,104628.5,101560,113975
104387.5,104623,101574,113966.25
104386.75,104622.25,101569.5,113959
104381,104627.5,101570.25,113961.5
104376,104626.75,101570.75,113966
104384.5,104630.25,101566.75,113969
104369,104631,101579,113965.75
104370.5,104635.5,101570.75,113958
104364.5,104621.25,101570.75,113959.5
104361.5,104622.5,101576.25,113956.75
104366.5,104625,101563.75,113951.75
104349.25,104627.25,101572.25,113954.25
104347,104625.5,101563.25,113957.75
104348.25,104621.5,101565.75,113967.5
104347,104631,101572,113968
104338,104623.25,101574,113967.5
104336.5,104626.25,101574.5,113966.25
104334.75,104621,101570,113967.75
104328.5,104621.75,101569.25,113969.75
104328,104607.5,101571.75,113963
104318.5,104624.75,101572.5,113956.5
104307.5,104625.25,101581.5,113961.75
104318.25,104628.75,101573.75,113952.75
104317,104625.75,101576,113963.25
104314,104620.25,101569,113966.75
104305.25,104624.25,101572.5,113973.75
104307.5,104617.25,101569,113962.5
104302.75,104629.25,101570.25,113969
104298.25,104624.5,101575.5,113968.5
