Sensor_0,Sensor_1,Sensor_2,Sensor_3,x,z,time
83577.75,91611.75,79899.75,81978.25,0,0,0
83490.25,91597.25,79923.25,81860,0,0,0.014980793
83473.75,91604,79926.25,81894.25,0,0,0.03051424
83500.5,91600.5,79924.25,81872,0,0,0.045398474
83514,91626.25,79917.75,81909.25,0,0,0.061859846
83487.75,91609.75,79925.75,81909.75,0,0,0.077841759
83524.25,91619.5,79901,81930.25,0,0,0.092861176
83521.5,91612.5,79904,81902.5,0,0,0.10890317
83545.5,91603.5,79926.25,81933.25,0,0,0.124510765
83501,91595.25,79922,81905.75,0,0,0.141368151
83523.75,91635.75,79918,81920.25,0,0,0.156658411
83535.5,91639,79933,81929.25,0,0,0.171871662
83559,91629.5,79915.25,81941.75,0,0,0.187076807
83556,91595.25,79902,81941.5,0,0,0.202527046
83547.25,91611,79885.75,81947.25,0,0,0.217821836
83547.25,91633.5,79919.5,81948,0,0,0.233507872
83550.75,91615.25,79905,81950,0,0,0.24881053
83552,91635.75,79922.5,81943,0,0,0.264510155
83566.75,91592.25,79921.25,81971,0,0,0.279843569
83536.75,91625.5,79925.75,81960,0,0,0.295926809
83552.75,91603.75,79915.75,81949.5,0,0,0.311509848
83551.5,91607.75,79927.5,81971.75,0,0,0.327313662
83584.25,91626.5,79914.25,81955.25,0,0,0.342633963
83564,91620.75,79930.75,81975.75,0,0,0.357631445
83570.25,91618.75,79894.75,81960,0,0,0.372991085
83542.75,91617.5,79924.25,81960.75,0,0,0.388967276
83572.25,91609.75,79931.25,81958.75,0,0,0.404456377
83550.25,91633,79936.75,81960.5,0,0,0.420355797
83556.75,91629.25,79930.5,81958.5,0,0,0.4358778
83565.75,91610,79911,81961.5,0,0,0.45159936
83577.5,91620.25,79910.75,81973,0,0,0.466617107
83548.75,91615.5,79936.25,81952,0,0,0.481029749
83558.5,91589,79903.5,81960.5,0,0,0.497427464
83549.75,91615,79923.5,81990.25,0,0,0.51334691
83579.5,91609.5,79916,81986.25,0,0,0.529186487
83586.25,91597.25,79915.75,81966.5,0,0,0.545432568
83580.75,91619.5,79925.5,81970.75,0,0,0.56031847
83571,91623,79923.75,81965.5,0,0,0.576510191
83575.25,91621.5,79901.5,81974,0,0,0.592025518
