Sensor_0,Sensor_1,Sensor_2,Sensor_3,x,z,time
98126.25,103771,108019.5,100170.75,0,0,0
98118.5,103777.5,108019.25,100159.5,0,0,0.016134739
98124.25,103752.75,108013.5,100157.75,0,0,0.032128811
98124,103756,108011.25,100158.5,0,0,0.047025919
98122.75,103770.75,108022.5,100151,0,0,0.062707424
98100.5,103745.75,108013.5,100156.75,0,0,0.077767134
98098.5,103783.25,108016.5,100152.5,0,0,0.092925072
98100.5,103783.75,108038.25,100143,0,0,0.10801816
98117.25,103764.75,108025.25,100142.75,0,0,0.125117064
98127.5,103785.75,108011.75,100185.5,0,0,0.141077995
98143.25,103790,108008.75,100149.25,0,0,0.156858206
98120.5,103789,108016.25,100188.5,0,0,0.171909809
98128.25,103776.25,108017.75,100173.75,0,0,0.188096046
98135.25,103780.75,108010.5,100160.5,0,0,0.202443361
98137.5,103775,108020.25,100188.25,0,0,0.217926741
98109,103762.5,108013.5,100162.75,0,0,0.234422445
98127,103755.25,108003.25,100175,0,0,0.250187159
98100,103781,108007.5,100193,0,0,0.266027212
98121.75,103760.75,108017.75,100151.5,0,0,0.282034636
98132.5,103768.25,108029.75,100176,0,0,0.29808569
98148,103759.25,108000.75,100176.5,0,0,0.313422203
98117,103767,108013,100160,0,0,0.32849741
98117,103772.25,108006,100163.75,0,0,0.343631268
98111.75,103785.5,108017.5,100153.5,0,0,0.359506369
98125,103796.75,108014,100159.25,0,0,0.374522686
98127.75,103764,107999.75,100159.5,0,0,0.390527964
98152.25,103783.25,108035.75,100146.25,0,0,0.406577349
98122.25,103794.5,108027.75,100171.75,0,0,0.422510147
98140.25,103758,108019.25,100178,0,0,0.437757492
98127.25,103772,108011.5,100174.25,0,0,0.453667164
98133,103787.75,108017,100156.5,0,0,0.468233585
98120.5,103784.25,108018.25,100143.75,0,0,0.484230995
98121.25,103797,108026.25,100184,0,0,0.500231981
98120,103794.5,107987,100195.25,0,0,0.517247438
98114,103757,108017.25,100161.5,0,0,0.532253504
98149.5,103779.75,108006.25,100156.75,0,0,0.546350241
98129,103783.25,108030.75,100162.75,0,0,0.5618577
98132.5,103788.75,107998.5,100170,0,0,0.578854322
98143.25,103766.5,108019.25,100178,0,0,0.593977213
98131.75,103790,108031.75,100135.75,0,0,0.609735727
98152.25,103774.75,108002.75,100181.5,0,0,0.625412941
98145.25,103767.75,107999,100147.75,0,0,0.641106129
98132.5,103816.75,108009.5,100149.75,0,0,0.657435656
98130,103790.75,108045,100155.5,0,0,0.673164129
98145.5,103777.75,107995.75,100155,0,0,0.687189102
98160,103785.25,108033,100155.5,0,0,0.703160286
98149.25,103789,107998,100201.75,0,0,0.720158815
98137,103826.5,108003.5,100161.5,0,0,0.73415947
98118.25,103806.5,108009.75,100163.25,0,0,0.749564648
98124.25,103776.25,108018.25,100183,0,0,0.765684605
98128.5,103776,108013.75,100155.5,0,0,0.781683922
98109.5,103781.25,108005.75,100164,0,0,0.797685146
98109.75,103779.75,108029,100157,0,0,0.813013792
98103.5,103766.5,108005.5,100168.25,0,0,0.829044342
98113.25,103787.25,107982.5,100171.25,0,0,0.844520569
98113,103761.5,108030,100167.75,0,0,0.860028982
98122.75,103786,108012.75,100123.25,0,0,0.876028061
98135.75,103776.5,107992,100164.75,0,0,0.892029285
98124,103778.5,108004.75,100158.25,0,0,0.908028603
98115.75,103779,108006,100157.5,0,0,0.923028708
98139.75,103768.75,108011.25,100132.5,0,0,0.938029051
98131.25,103785,108025,100175,0,0,0.953186035
98149,103780.25,108011.5,100178.25,0,0,0.968384981
98116.5,103790.75,108022,100177.25,0,0,0.983508348
98142,103786.5,108003.75,100171.25,0,0,0.999116898
98135.25,103781,108011.25,100169,0,0,1.015012264
98124.25,103820.5,107995,100167,0,0,1.03001976
98114.25,103776.25,108033.25,100164.5,0,0,1.046953678
98128.25,103796.5,107997.75,100182.25,0,0,1.062930584
98105,103782.25,108007.75,100164.75,0,0,1.079021454
98113.75,103788,107995.75,100166,0,0,1.09499836
98136,103764.75,107997,100148.75,0,0,1.109992504
98123.75,103782.25,107997.5,100154.25,0,0,1.124006271
98108,103781,108015.75,100168.75,0,0,1.13900423
98154,103780.75,108022,100160.5,0,0,1.155105591
98129.25,103779,107998.75,100172.5,0,0,1.169809818
98119.75,103773.5,108002.5,100155.75,0,0,1.185438395
98119.25,103756.75,108000.75,100181.75,0,0,1.202492476
98116,103777.5,108001.5,100159.5,0,0,1.218572378
98134.75,103758.25,108000,100173.5,0,0,1.234569073
98168.25,103770.5,108005.5,100159.25,0,0,1.24992919
98134,103767.25,108012.75,100188.5,0,0,1.265460014
98124,103782.25,108003.25,100148.25,0,0,1.280487299
98111.25,103789.5,108013.25,100165.75,0,0,1.29548645
98122.25,103776.5,108016.5,100174,0,0,1.311251879
98129,103767.25,108023.75,100147.25,0,0,1.326399565
98153.25,103781,107989.75,100154,0,0,1.342132568
98138.25,103800.5,108001.75,100183,0,0,1.357310057
98126.75,103754.25,107972.75,100174.25,0,0,1.373398304
98116.5,103782.25,108011.75,100163.5,0,0,1.388511419
98146.75,103785.75,108011,100160.25,0,0,1.403562069
98106.75,103770.5,108012.25,100164.75,0,0,1.418762922
98130.75,103770.75,107996.75,100155.75,0,0,1.434759617
98129.75,103771.5,108018,100174,0,0,1.450791121
98123,103780.75,107989.75,100161.75,0,0,1.464674234
98115,103790.25,108007.25,100173,0,0,1.480148077
98123.75,103779,107999.25,100144,0,0,1.495923519
98128,103762,107995.25,100156.25,0,0,1.511521339
98120.25,103766.5,107979,100170,0,0,1.526687622
98106.5,103790,108008.25,100174.75,0,0,1.542278528
98126,103790,107994.25,100186.25,0,0,1.558187485
98120.5,103776.25,107986.5,100164.25,0,0,1.573199749
98116.75,103759.5,107991.5,100178.5,0,0,1.588186741
98119.25,103783,108001.75,100157.75,0,0,1.60323143
98119.25,103778.75,107986.5,100143.75,0,0,1.620229006
98122.75,103774.25,108011.5,100169.5,0,0,1.635224819
98098.75,103799,108002,100162,0,0,1.651193142
98107,103767.75,107999,100173.75,0,0,1.666815281
98143.75,103770.75,108015.5,100190.75,0,0,1.682835579
98136.25,103777.5,108010.25,100150.5,0,0,1.698768377
98122.5,103787.75,107992.5,100153.75,0,0,1.713778257
98137,103791,107987,100141,0,0,1.730769873
98114,103755.25,108013.5,100157.75,0,0,1.745836735
98127,103772.75,107987.5,100156,0,0,1.761449814
98130.25,103786.75,107988,100166.75,0,0,1.778410196
98129.75,103775,107995.75,100134,0,0,1.793726444
98133.75,103776.5,107987.5,100173,0,0,1.80872941
98125.5,103788.5,107997.25,100159.25,0,0,1.824002266
98133.5,103787.25,107987,100181.5,0,0,1.839312315
98141.75,103797.5,108014,100187.5,0,0,1.855108023
98122.5,103788.75,107995.25,100164.25,0,0,1.870639563
98127.25,103798.25,107986,100131.75,0,0,1.886637688
98107.25,103778.25,107983,100164,0,0,1.902240753
98122.75,103761,107979.75,100171,0,0,1.918122053
98141.5,103766,108001.25,100182.75,0,0,1.934105158
98129.25,103787,107982.75,100182.75,0,0,1.949551821
98153,103759,108017.25,100178.25,0,0,1.964177608
98129.75,103767.25,107998,100160,0,0,1.980135679
98143.5,103786.75,107998.25,100173.5,0,0,1.995225668
98083,103777,107994.5,100180.25,0,0,2.010222197
98110,103789.75,108008.25,100150.5,0,0,2.025221825
98114.5,103747.25,108000.5,100159.25,0,0,2.042222023
98113.5,103800.5,107997.5,100165,0,0,2.057254314
98119.75,103766.5,108012.25,100171.75,0,0,2.072848558
98127.5,103769.25,108023.25,100150,0,0,2.088006496
98143,103787.5,107977,100177.25,0,0,2.103341341
98119.75,103787,107958.5,100148,0,0,2.119353533
98111.25,103765,108004.5,100188.75,0,0,2.134543657
98153.75,103793.25,107990.5,100170.25,0,0,2.150934935
98116.5,103751.5,108010.75,100166.25,0,0,2.165568113
98130.5,103776.5,107989.75,100142.25,0,0,2.181592226
98129.5,103790.25,108022,100184.25,0,0,2.196589231
98154,103792.25,107997.25,100167.75,0,0,2.213433981
98120.5,103789.75,107971.75,100169.5,0,0,2.228984833
98126.75,103778.25,108012.5,100155.25,0,0,2.24469614
98115,103763.5,107982,100192,0,0,2.260809183
98111.5,103768.25,107988.5,100162.5,0,0,2.276103735
98121.75,103783.75,107979,100160.75,0,0,2.290475845
98112.75,103781.5,107986.25,100168.5,0,0,2.307454824
98124,103772.25,107999.75,100171.75,0,0,2.321757555
98129.75,103785,107986,100166.75,0,0,2.337949514
98122.25,103754,107969.5,100156,0,0,2.353513002
98129.75,103774.5,107979.5,100187,0,0,2.369850874
98109,103766.5,107969.5,100192.25,0,0,2.385162354
98107.25,103792,107977.5,100164,0,0,2.399967194
98119,103757.75,107997.25,100168.75,0,0,2.415444136
98130.75,103790,107990.5,100162.5,0,0,2.430961132
98126,103770,107981.75,100168.75,0,0,2.446954966
98123,103783.5,107975,100167.25,0,0,2.462106466
98123,103775.75,107975.75,100174,0,0,2.477308989
98141.75,103782.5,107980.5,100178,0,0,2.494020224
98125.5,103786,107995.75,100156,0,0,2.509121656
98119,103800.25,107979,100158.25,0,0,2.523749352
98148,103761.5,108004.25,100164.5,0,0,2.540785789
98121.75,103759.5,107996.75,100170.5,0,0,2.555740595
98118.5,103757,107982,100162,0,0,2.571273565
98127.75,103797.75,107995.25,100181.25,0,0,2.586977243
98139.75,103791,107995.5,100173.25,0,0,2.601136208
98119.75,103805.75,107978,100159.5,0,0,2.618087769
98130.5,103782.5,107978.75,100169.5,0,0,2.633197784
98134,103790,107969.25,100177,0,0,2.64735198
98129.75,103785.5,108002,100177.75,0,0,2.664318562
98134.75,103803.5,107984.5,100151.75,0,0,2.679995537
98123.25,103799.25,107977.25,100161.5,0,0,2.695457458
98121.75,103802.25,107985.75,100166.75,0,0,2.710569859
98122,103781.75,107960.5,100143,0,0,2.72533083
98114.25,103783.5,107995.75,100172.25,0,0,2.742247581
98132,103769.5,107971,100137.75,0,0,2.75730443
98140,103795,108000,100154,0,0,2.773892164
98119.75,103796,107988.75,100160,0,0,2.789919853
98124,103769.25,108007.5,100165.75,0,0,2.805884838
98100,103787.25,107989.75,100170.75,0,0,2.820928335
98116.75,103772.75,107985,100174.75,0,0,2.836879492
98113.5,103801.5,107975.75,100149.5,0,0,2.852932692
98124.5,103790.25,107979.25,100138.5,0,0,2.867592812
98141,103779.5,107985.25,100160,0,0,2.883580208
98131,103795.25,107968.25,100141.25,0,0,2.900588036
98142,103771.25,107969,100154,0,0,2.916540861
